50
100
7,22
8,41
48,27
4,32
31,31
37,2
3,3
3,6
42,13
7,33
41,2
40,9
9,6
7,46
35,48
33,4
23,45
16,45
14,21
10,37
26,28
29,7
49,5
30,43
23,5
48,24
17,35
49,19
29,20
7,2
10,9
25,32
34,42
28,22
25,26
4,49
40,33
37,5
29,4
26,8
3,21
30,34
33,28
14,13
21,12
10,48
13,15
3,19
37,40
29,49
11,23
2,17
49,11
20,33
14,3
49,1
46,2
33,44
22,34
21,17
28,11
32,14
38,26
11,42
6,13
19,5
2,14
37,33
26,24
25,11
16,13
13,8
15,36
9,46
0,26
34,20
44,16
38,28
27,30
8,28
26,34
46,48
27,37
45,21
46,34
22,2
11,1
20,20
21,14
20,30
20,28
43,42
47,18
26,21
4,47
6,36
13,11
43,48
40,49
30,16
38,45
