15,7,0
9,1,0
3,5,0
8,10,1
7,18,1
14,18,1
16,15,1
11,9,0
2,4,0
8,11,1
5,9,1
13,2,0
14,5,0
2,13,1
1,12,1
3,11,1
7,11,1
10,6,0
9,15,1
17,10,0
16,5,0
4,3,0
12,8,0
1,19,1
15,2,0
3,7,1
8,9,0
5,3,0
20,9,0
1,4,0
1,17,1
14,10,0
14,13,1
19,17,1
14,1,0
11,18,1
15,9,0
7,19,1
17,18,1
8,2,0
13,20,1
20,5,0
3,12,1
13,12,1
12,14,1
4,12,1
3,10,1
10,15,1
11,1,0
18,4,0
17,8,0
5,7,0
18,20,1
11,12,1
16,1,0
11,14,1
6,19,1
5,20,1
12,20,1
16,2,0
19,3,0
10,11,1
2,11,1
14,4,0
11,2,0
11,10,0
13,4,0
15,11,0
9,4,0
4,11,1
1,15,1
10,7,0
12,4,0
20,2,0
12,16,1
4,1,0
9,12,1
18,18,1
17,13,0
16,9,0
6,16,1
2,19,1
7,8,0
2,12,1
2,10,1
19,6,0
1,13,1
2,7,1
8,14,1
15,10,0
14,2,0
9,20,1
6,3,0
19,18,1
6,1,0
13,19,1
4,15,1
2,8,1
2,2,0
14,9,0
19,5,0
4,17,1
13,9,0
15,20,1
5,15,1
5,5,0
14,11,0
17,4,0
9,11,1
20,3,0
18,3,0
8,8,0
8,7,0
18,15,1
15,3,0
15,13,1
14,14,1
1,3,0
11,19,1
16,12,0
20,15,1
15,14,1
16,16,1
15,19,1
12,3,0
8,17,1
7,13,1
15,8,0
11,15,1
4,5,0
16,11,0
17,20,1
1,16,1
12,12,1
3,16,1
18,9,0
6,12,1
6,15,1
9,10,1
12,6,0
13,7,0
9,7,0
19,10,0
14,16,1
13,5,0
6,4,0
16,3,0
10,2,0
7,4,0
3,8,1
17,1,0
16,19,1
8,20,1
16,10,0
11,17,1
11,8,0
15,4,0
15,16,1
10,9,0
4,14,1
13,14,1
4,10,1
15,17,1
10,4,0
12,5,0
7,12,1
6,13,1
2,14,1
20,20,1
8,3,0
11,5,0
17,3,0
3,20,1
13,18,1
4,16,1
10,10,0
13,3,0
12,9,0
14,15,1
16,14,1
17,2,0
5,13,1
5,12,1
2,18,1
14,7,0
17,14,1
5,18,1
18,13,0
3,13,1
10,13,1
12,11,0
7,5,0
17,9,0
7,15,1
4,8,1
6,6,0
9,17,1
14,17,1
6,17,1
9,5,0
4,7,0
6,5,0
19,20,1
14,3,0
5,8,1
7,6,0
16,6,0
17,12,0
17,19,1
5,10,1
13,17,1
5,6,0
2,3,0
4,20,1
19,13,0
5,14,1
18,14,0
2,9,1
13,13,1
18,12,0
11,6,0
19,12,0
20,17,1
1,8,1
16,17,1
7,3,0
9,19,1
4,6,0
1,9,1
8,16,1
13,10,0
2,5,0
7,14,1
19,2,0
13,1,0
15,5,0
3,6,0
18,16,1
2,20,1
4,19,1
