14,17,1
4,6,1
7,1,1
13,8,0
5,5,1
3,18,1
18,5,1
14,3,1
11,9,1
18,7,1
9,13,0
8,11,1
16,6,0
9,7,1
7,16,1
18,19,1
19,15,0
18,9,1
9,17,0
9,3,1
15,19,0
8,7,1
12,9,1
13,2,0
18,16,1
15,4,0
13,14,1
7,6,1
2,9,1
9,18,1
13,18,1
4,13,1
13,11,0
17,16,1
1,4,1
4,14,1
6,11,0
12,15,0
10,11,1
19,16,1
20,11,1
15,16,1
18,10,1
15,17,1
8,14,1
15,14,1
20,2,1
14,12,1
11,15,1
20,15,1
15,8,1
19,11,0
5,13,1
17,5,1
17,4,1
9,2,0
9,5,1
5,1,1
19,7,1
2,11,1
10,6,0
18,18,1
16,10,0
6,17,0
16,16,1
10,15,0
16,13,0
6,5,1
8,1,1
1,18,1
12,10,1
9,15,0
9,20,1
14,5,1
16,18,1
8,10,1
2,19,1
2,4,1
17,1,1
19,9,0
3,17,0
1,2,1
16,20,1
3,5,1
12,12,1
10,8,0
8,2,1
7,17,1
7,18,1
20,1,1
20,10,1
5,8,1
7,2,0
5,19,1
18,20,1
14,13,1
6,16,1
8,3,1
2,12,1
15,3,1
13,12,1
11,18,1
11,14,1
16,9,0
14,9,1
11,10,1
6,19,0
14,2,1
3,19,0
1,11,1
8,13,1
3,3,1
14,4,1
11,11,1
20,17,1
6,15,0
20,5,1
13,17,0
18,13,1
13,4,0
11,4,1
2,5,1
13,19,0
14,18,1
9,16,1
8,15,1
10,13,1
3,4,0
19,3,1
19,12,0
12,18,1
9,14,1
20,8,1
12,5,1
1,17,1
17,2,1
6,13,0
11,19,1
9,4,0
12,2,0
10,9,1
13,16,1
8,9,1
19,1,1
8,4,1
17,10,1
18,4,1
13,6,0
20,20,1
4,10,1
1,14,1
19,6,0
3,6,0
3,20,1
3,11,0
1,7,1
19,19,0
3,12,0
16,14,1
12,17,0
16,2,0
9,1,1
17,15,1
11,8,1
4,3,1
15,9,1
1,20,1
18,1,1
1,15,1
14,16,1
10,5,1
11,16,1
5,20,1
16,8,0
12,7,1
10,3,1
8,16,1
4,17,1
17,17,1
7,9,1
16,12,0
3,1,1
18,8,1
11,5,1
4,1,1
2,16,1
7,5,1
5,17,1
20,14,1
1,16,1
11,3,1
10,18,1
4,20,1
15,5,1
9,9,1
6,3,1
3,10,0
5,9,1
7,7,1
5,12,1
14,8,1
17,19,1
17,12,1
14,19,1
3,7,0
10,16,1
14,11,1
16,3,1
7,12,1
16,11,0
15,10,1
11,12,1
2,15,1
5,16,1
15,11,1
5,14,1
6,12,0
4,8,1
17,7,1
11,17,1
17,8,1
15,2,0
13,7,1
20,18,1
5,6,1
10,17,0
8,19,1
16,1,1
6,6,0
15,18,1
18,6,1
3,8,0
2,13,1
4,2,1
19,10,0
18,14,1
1,6,1
17,13,1
15,7,1
19,2,0
